,tweet_id,retweet_count,favourite_count
0,892420643555336193,7715,36239
0,892177421306343426,5701,31259
0,891815181378084864,3780,23535
0,891689557279858688,7877,39540
0,891327558926688256,8486,37758
0,891087950875897856,2844,19013
0,890971913173991426,1851,11074
0,890729181411237888,17212,61067
0,890609185150312448,3917,26177
0,890240255349198849,6702,29899
0,890006608113172480,6684,28792
0,889880896479866881,4554,26196
0,889665388333682689,9133,45109
0,889638837579907072,4096,25386
0,889531135344209921,2059,14201
0,889278841981685760,4863,23646
0,888917238123831296,4108,27328
0,888804989199671297,3875,24012
0,888554962724278272,3180,18547
0,888078434458587136,3162,20447
0,887705289381826560,4914,28391
0,887517139158093824,10747,43553
0,887473957103951883,16431,64549
0,887343217045368832,9558,31607
0,887101392804085760,5444,28749
0,886983233522544640,7004,32793
0,886736880519319552,2934,11255
0,886680336477933568,4082,21096
0,886366144734445568,2893,19851
0,886267009285017600,4,111
0,886258384151887873,5767,26283
0,886054160059072513,100,0
0,885984800019947520,6130,30581
0,885528943205470208,5833,33748
0,885518971528720385,3406,19239
0,885311592912609280,16910,0
0,885167619883638784,3994,20559
0,884925521741709313,16521,72412
0,884876753390489601,5099,26150
0,884562892145688576,4294,22813
0,884441805382717440,5200,25433
0,884247878851493888,18549,68170
0,884162670584377345,2735,19158
0,883838122936631299,3139,20530
0,883482846933004288,9021,43036
0,883360690899218434,3381,21295
0,883117836046086144,6062,34831
0,882992080364220416,3557,22425
0,882762694511734784,4471,26552
0,882627270321602560,5552,26290
0,882268110199369728,10570,42096
0,882045870035918850,4466,27523
0,881906580714921986,3105,22844
0,881666595344535552,9753,47574
0,881633300179243008,7,118
0,881536004380872706,14587,46446
0,881268444196462592,4816,21821
0,880935762899988482,2549,16039
0,880872448815771648,3500,19996
0,880465832366813184,5684,26760
0,880221127280381952,3806,25333
0,880095782870896641,3969,25943
0,879862464715927552,3202,21025
0,879674319642796034,10,297
0,879492040517615616,2912,22063
0,879415818425184262,40642,99370
0,879376492567855104,2861,15790
0,879130579576475649,6226,0
0,879050749262655488,4295,21174
0,879008229531029506,2457,17859
0,878776093423087618,3742,18196
0,878604707211726852,6504,28333
0,878404777348136964,1179,0
0,878316110768087041,6100,0
0,878281511006478336,1179,7274
0,878057613040115712,6226,39587
0,877736472329191424,17356,74609
0,877611172832227328,73,0
0,877556246731214848,3493,21352
0,877316821321428993,4770,25769
0,877201837425926144,5120,25490
0,876838120628539392,3056,19478
0,876537666061221889,4302,22251
0,876484053909872640,2175,17662
0,876120275196170240,4287,26336
0,875747767867523072,3915,23690
0,875144289856114688,4511,20632
0,875097192612077568,5580,25856
0,875021211251597312,4338,24014
0,874680097055178752,4253,26198
0,874434818259525634,13358,0
0,874296783580663808,3775,24557
0,874057562936811520,3660,21415
0,874012996292530176,9430,32335
0,873580283840344065,3622,22848
0,873337748698140672,1472,0
0,873213775632977920,1472,6761
0,872967104147763200,4993,25745
0,872820683541237760,3431,13926
0,872620804844003328,3364,19573
0,872486979161796608,8343,38519
0,872122724285648897,7473,32441
0,871879754684805121,10153,35541
0,871762521631449091,3229,19133
0,871515927908634625,3217,19103
0,871166179821445120,5289,0
0,871102520638267392,5108,19816
0,871032628920680449,3545,21531
0,870804317367881728,5733,31853
0,870726314365509632,3,115
0,870656317836468226,2453,11713
0,870374049280663552,24568,78661
0,870308999962521604,3855,20779
0,870063196459192321,7717,34649
0,869772420881756160,9399,40366
0,869702957897576449,5863,26818
0,869596645499047938,2906,15155
0,869227993411051520,3518,19404
0,868880397819494401,13440,62166
0,868639477480148993,1939,0
0,868622495443632128,4940,25382
0,868552278524837888,1939,9591
0,867900495410671616,3903,23034
0,867774946302451713,6868,32349
0,867421006826221569,2327,15321
0,867072653475098625,112,0
0,867051520902168576,7370,30702
0,866720684873056260,4487,19101
0,866686824827068416,3272,18393
0,866450705531457537,32991,116541
0,866334964761202691,13358,50001
0,866094527597207552,7854,0
0,865718153858494464,5272,24491
0,865359393868664832,4700,25284
0,865006731092295680,7226,26757
0,864873206498414592,8161,30856
0,864279568663928832,2841,13935
0,864197398364647424,8332,28683
0,863907417377173506,3897,19707
0,863553081350529029,3939,14607
0,863471782782697472,2288,0
0,863432100342583297,4947,22772
0,863427515083354112,90,2111
0,863079547188785154,1047,8416
0,863062471531167744,2288,8108
0,862831371563274240,4859,18401
0,862722525377298433,3340,16389
0,862457590147678208,4657,19610
0,862096992088072192,21868,71215
